0.639,0.664,0.240
0.308,0.085,0.081
0.187,0.627,0.087
0.606,0.084,0.839
0.086,0.239,0.597
0.140,0.509,0.062
0.817,0.423,0.225
0.862,0.654,0.095
0.478,0.786,0.414
0.761,0.515,0.233
0.898,0.703,0.126
0.762,0.570,0.277
0.838,0.701,0.125
0.756,0.547,0.200
0.665,0.616,0.299
0.655,0.638,0.322
0.756,0.395,0.274
0.590,0.206,0.778
0.571,0.058,0.753
0.612,0.109,0.745
0.376,0.788,0.484
0.581,0.094,0.813
0.606,0.108,0.893
0.626,0.109,0.731
0.822,0.703,0.225
0.884,0.693,0.049
0.409,0.734,0.483
0.073,0.328,0.587
0.740,0.610,0.324
0.001,0.339,0.609
0.894,0.653,0.118
0.750,0.491,0.256
0.386,0.773,0.477
0.148,0.519,0.048
0.221,0.638,0.014
0.641,0.615,0.297
0.024,0.294,0.426
0.616,0.146,0.720
0.081,0.298,0.571
0.383,0.782,0.462
0.409,0.801,0.491
0.010,0.230,0.584
0.927,0.683,0.165
0.059,0.324,0.595
0.608,0.157,0.714
0.417,0.707,0.566
0.830,0.441,0.230
0.761,0.424,0.286
0.392,0.736,0.541
0.147,0.533,0.002
0.004,0.326,0.549
0.803,0.499,0.278
0.789,0.403,0.260
0.892,0.676,0.103
0.160,0.574,0.006
0.590,0.119,0.733
0.159,0.577,0.032
0.749,0.543,0.286
0.826,0.537,0.348
0.005,0.363,0.582
0.353,0.187,0.151
0.219,0.552,0.017
0.442,0.797,0.432
0.693,0.590,0.247
0.265,0.540,0.041
0.160,0.657,0.045
0.103,0.230,0.541
0.271,0.051,0.031
0.245,0.544,0.004
0.805,0.437,0.297
0.892,0.730,0.128
0.277,0.048,0.071
0.409,0.811,0.469
0.348,0.088,0.139
0.760,0.485,0.286
0.625,0.096,0.809
0.357,0.752,0.428
0.786,0.576,0.261
0.153,0.327,0.604
0.200,0.505,0.006
0.656,0.157,0.781
0.797,0.505,0.251
0.043,0.322,0.555
0.059,0.284,0.507
0.757,0.444,0.268
0.543,0.149,0.766
0.599,0.052,0.832
0.319,0.126,0.142
0.295,0.091,0.066
0.862,0.653,0.134
0.554,0.143,0.795
0.079,0.312,0.517
0.876,0.636,0.203
0.821,0.695,0.155
0.220,0.629,0.092
0.593,0.072,0.874
0.842,0.701,0.128
0.324,0.095,0.067
0.917,0.686,0.119
0.222,0.577,0.044
0.731,0.478,0.287
0.067,0.325,0.636
0.341,0.039,0.190
0.663,0.102,0.799
0.901,0.613,0.055
0.196,0.528,0.018
0.170,0.549,0.029
0.062,0.291,0.625
0.036,0.342,0.593
0.307,0.092,0.138
0.383,0.801,0.474
0.069,0.323,0.618
0.166,0.621,0.020
0.600,0.105,0.864
0.898,0.655,0.129
0.299,0.028,0.080
0.906,0.707,0.229
0.390,0.743,0.485
0.907,0.681,0.185
0.375,0.772,0.457
0.292,0.021,0.133
0.383,0.100,0.033
0.867,0.713,0.093
0.003,0.330,0.620
0.229,0.592,0.052
0.348,0.128,0.113
0.599,0.084,0.846
0.771,0.492,0.208
0.690,0.585,0.248
0.319,0.028,0.147
0.156,0.510,0.041
0.910,0.699,0.110
0.810,0.687,0.124
0.755,0.559,0.250
0.371,0.054,0.110
0.319,0.112,0.116
0.229,0.604,0.039
0.446,0.727,0.442
0.432,0.754,0.405
0.390,0.799,0.439
0.372,0.818,0.456
0.823,0.409,0.274
0.867,0.664,0.130
0.013,0.307,0.601
0.674,0.129,0.762
0.339,0.078,0.111
0.672,0.634,0.341
0.408,0.717,0.434
0.611,0.122,0.784
0.349,0.059,0.141
0.819,0.636,0.159
0.201,0.592,0.061
0.854,0.694,0.152
0.750,0.468,0.264
0.638,0.138,0.824
0.302,0.094,0.163
0.645,0.109,0.844
0.726,0.487,0.257
0.784,0.461,0.226
0.359,0.788,0.415
0.648,0.115,0.787
0.010,0.308,0.637
0.669,0.574,0.366
0.641,0.108,0.806
0.724,0.624,0.269
0.863,0.680,0.160
0.892,0.730,0.113
0.739,0.454,0.268
0.231,0.505,0.014
0.006,0.344,0.628
0.326,0.026,0.061
0.711,0.673,0.236
0.631,0.572,0.272
0.264,0.585,0.043
0.582,0.125,0.803
0.623,0.042,0.783
0.085,0.276,0.658
0.792,0.440,0.264
0.316,0.768,0.446
0.897,0.714,0.174
0.606,0.143,0.814
0.576,0.102,0.845
0.885,0.677,0.169
0.848,0.669,0.152
0.309,0.025,0.095
0.882,0.651,0.093
0.578,0.067,0.727
0.683,0.611,0.365
0.022,0.363,0.558
0.575,0.089,0.784
0.241,0.676,0.007
0.423,0.677,0.501
0.668,0.630,0.325
0.540,0.117,0.815
0.803,0.417,0.247
0.014,0.301,0.532
0.706,0.484,0.275
0.013,0.221,0.633
0.853,0.630,0.190
0.382,0.750,0.506
0.604,0.180,0.740
0.036,0.311,0.583
0.667,0.568,0.339
0.078,0.287,0.595
0.256,0.577,0.003
0.698,0.570,0.273
0.643,0.144,0.815
0.761,0.494,0.317
0.929,0.674,0.109
0.290,0.066,0.128
0.670,0.520,0.310
0.666,0.187,0.800
0.359,0.783,0.511
0.048,0.260,0.562
0.024,0.263,0.569
0.759,0.451,0.271
0.243,0.594,0.019
0.329,0.071,0.138
