0.577,0.525
0.384,0.594
0.496,0.430
0.831,0.080
0.786,0.895
0.332,0.445
0.537,0.421
0.847,0.039
0.341,0.642
0.874,0.034
0.347,0.608
0.189,0.044
0.318,0.635
0.350,0.560
0.454,0.514
0.717,0.880
0.570,0.542
0.708,0.864
0.554,0.459
0.763,0.813
0.716,0.847
0.158,0.132
0.221,0.075
0.701,0.887
0.887,0.148
0.287,0.160
0.243,0.111
0.440,0.469
0.899,0.031
0.465,0.416
0.360,0.418
0.231,0.097
0.651,0.853
0.356,0.639
0.743,0.867
0.226,0.122
0.541,0.432
0.706,0.356
0.655,0.563
0.556,0.528
0.241,0.056
0.367,0.423
0.773,0.013
0.683,0.857
0.241,0.109
0.294,0.671
0.204,0.127
0.385,0.426
0.676,0.592
0.591,0.479
0.681,0.874
0.563,0.562
0.321,0.631
0.559,0.464
0.600,0.550
0.641,0.479
0.260,0.094
0.656,0.888
0.744,0.922
0.746,0.075
0.901,0.051
0.456,0.429
0.200,0.091
0.675,0.403
0.585,0.518
0.797,0.024
0.905,0.022
0.609,0.506
0.621,0.503
0.338,0.472
0.357,0.410
0.831,0.013
0.411,0.448
0.552,0.441
0.821,0.041
0.723,0.315
0.403,0.627
0.800,0.378
0.647,0.322
0.345,0.607
0.385,0.615
0.266,0.056
0.737,0.898
0.507,0.460
0.377,0.447
0.583,0.466
0.799,0.029
0.658,0.371
0.723,0.337
0.367,0.639
0.416,0.634
0.537,0.492
0.768,0.835
0.258,0.074
0.288,0.062
0.623,0.589
0.878,0.050
0.251,0.036
0.647,0.368
0.742,0.382
0.509,0.460
0.375,0.661
0.672,0.545
0.344,0.650
0.807,0.081
0.259,0.080
0.843,0.019
0.907,0.041
0.162,0.185
0.614,0.394
0.289,0.575
0.710,0.966
0.350,0.476
0.254,0.116
0.175,0.064
0.242,0.010
0.361,0.440
0.573,0.564
0.207,0.186
0.489,0.478
0.696,0.847
0.650,0.588
0.554,0.502
0.927,0.036
0.315,0.635
0.219,0.068
0.707,0.912
0.344,0.402
0.376,0.660
0.402,0.398
0.361,0.532
0.372,0.382
0.697,0.357
0.169,0.151
0.410,0.469
0.642,0.832
0.162,0.046
0.721,0.290
0.336,0.559
0.711,0.932
0.264,0.136
0.381,0.586
0.838,0.001
0.592,0.521
0.168,0.072
0.707,0.293
0.780,0.057
0.610,0.575
0.549,0.446
0.527,0.466
0.860,0.072
0.847,0.040
0.585,0.506
0.443,0.630
0.645,0.359
0.271,0.052
0.539,0.580
0.786,0.917
0.241,0.086
0.602,0.543
0.713,0.404
0.490,0.342
0.726,0.333
0.384,0.662
0.372,0.616
0.834,0.057
0.269,0.104
0.597,0.516
0.646,0.833
0.259,0.059
0.751,0.756
0.698,0.392
0.564,0.620
0.353,0.514
0.208,0.063
0.735,0.841
0.589,0.559
0.226,0.162
0.720,0.334
0.312,0.114
0.236,0.129
0.606,0.568
