0.808,0.957
0.753,0.500
0.291,0.938
0.657,0.615
0.990,0.358
0.702,0.630
0.669,0.607
0.285,0.143
0.732,0.671
0.957,0.689
0.831,0.881
0.370,0.889
0.014,0.465
0.891,0.503
0.008,0.420
0.844,0.904
0.967,0.294
0.884,0.632
0.434,0.244
0.828,0.887
0.054,0.469
0.059,0.444
0.688,0.585
1.047,0.317
0.071,0.444
0.343,0.921
0.634,0.530
0.003,0.467
0.354,0.140
0.690,0.664
0.360,0.144
0.815,1.007
0.610,0.652
0.955,0.390
0.361,0.138
0.997,0.386
0.837,0.923
0.603,0.655
0.616,0.689
0.961,0.722
0.318,0.120
1.006,0.311
0.682,0.596
0.473,1.015
0.782,0.884
0.015,0.455
0.379,0.956
0.786,0.924
0.038,0.486
0.870,0.923
0.849,0.921
0.629,0.644
1.023,0.725
0.401,0.156
0.365,0.153
0.826,0.963
0.697,0.636
0.766,0.941
0.046,0.533
0.839,0.920
0.413,0.975
0.826,0.919
0.414,0.152
0.828,0.494
0.676,0.673
0.041,0.468
0.809,0.454
0.923,0.264
0.717,0.958
0.891,0.476
0.827,0.480
0.857,0.449
0.977,0.304
0.355,1.000
0.979,0.657
0.974,0.620
0.652,0.577
0.830,0.459
1.050,0.318
0.043,0.501
0.753,0.878
0.835,0.484
0.965,0.656
0.363,0.153
0.863,0.734
0.665,0.620
0.336,0.881
0.904,0.667
0.365,0.953
0.353,0.207
0.995,0.259
0.331,0.900
0.846,0.865
0.854,0.438
0.329,0.115
0.341,0.920
0.813,0.461
0.824,0.501
0.351,1.004
0.892,0.516
0.029,0.493
0.790,0.954
0.977,0.324
0.622,0.726
0.930,0.512
1.016,0.337
0.840,0.445
0.319,0.159
1.002,0.313
0.705,0.588
0.337,0.947
0.950,0.276
0.655,0.642
0.062,0.471
0.376,0.175
0.400,1.024
0.922,0.348
0.426,0.191
0.306,1.027
1.034,0.295
0.805,0.482
0.305,0.922
0.305,0.968
0.782,0.914
0.710,0.709
0.921,0.705
0.927,0.681
0.859,0.510
0.988,0.273
0.315,0.129
0.305,0.924
0.014,0.399
0.323,0.171
0.334,0.146
0.330,0.204
0.712,0.688
0.825,0.952
0.005,0.468
0.341,0.988
0.977,0.706
0.854,0.892
0.653,0.593
0.368,0.937
0.991,0.611
0.337,0.124
0.338,1.012
0.360,0.911
0.344,0.980
0.948,0.682
0.325,0.181
0.958,0.635
0.424,0.953
0.369,0.989
0.893,0.727
0.452,0.997
0.713,0.654
0.935,0.676
0.328,0.171
0.401,0.962
0.385,0.115
0.829,0.944
0.653,0.646
1.011,0.317
0.840,0.940
0.932,0.654
0.335,0.968
0.005,0.481
0.066,0.434
0.907,0.649
0.982,0.270
0.791,0.432
0.339,0.124
0.788,0.956
1.061,0.373
0.791,0.902
0.980,0.699
0.787,0.475
0.871,0.671
0.974,0.653
0.356,0.928
0.977,0.365
0.850,0.487
0.918,0.324
0.865,0.920
0.936,0.290
0.986,0.584
0.681,0.591
0.075,0.466
0.875,0.915
0.677,0.702
0.985,0.363
0.994,0.310
0.274,0.087
1.001,0.233
0.374,0.128
0.728,0.702
0.017,0.491
0.001,0.493
0.945,0.668
